id,name,department,salary,employmentType
1,Charlie Davis,Finance,56152.94,0
2,Bob Johnson,Sales,99930.3,1
3,Charlie Davis,Finance,49845.88,1
4,Charlie Davis,Marketing,64742.46,1
5,Emily Wilson,Marketing,71758.01,1
6,Charlie Davis,Marketing,55506.82,2
7,Bob Johnson,Marketing,91960.95,2
8,John Doe,Engineering,55627.73,1
9,Alice Brown,Finance,79250.51,2
10,Sophia Garcia,Marketing,34942.65,1
11,Bob Johnson,Sales,80266.27,2
12,Olivia White,HR,30280.38,0
13,Alice Brown,Sales,61275.47,1
14,Alice Brown,Finance,99769.85,2
15,Michael Lee,Sales,84149.02,2
16,David Martinez,Sales,69638.85,1
17,Emily Wilson,Marketing,35865.38,1
18,Charlie Davis,Sales,62876.44,0
19,Bob Johnson,Sales,68040.1,1
20,Olivia White,HR,97823.45,0
21,Bob Johnson,HR,64964.34,0
22,Olivia White,HR,30039.33,1
23,Michael Lee,Sales,78112.37,0
24,David Martinez,Engineering,41850.49,0
25,Sophia Garcia,HR,55869.02,2
26,Alice Brown,HR,92397.43,0
27,Jane Smith,Marketing,85571.9,2
28,John Doe,HR,60270.92,0
29,Olivia White,Finance,72280.61,1
30,Emily Wilson,HR,80164.02,1
31,John Doe,Finance,78625.24,0
32,Alice Brown,Finance,41077.45,0
33,Jane Smith,Marketing,83589.03,0
34,Olivia White,Finance,75763.34,1
35,Sophia Garcia,Finance,48906.54,1
36,Emily Wilson,Finance,75035.61,2
37,Olivia White,Marketing,80517.89,1
38,Charlie Davis,HR,59530.26,1
39,David Martinez,Marketing,84357.19,0
40,Bob Johnson,HR,82364.36,2
41,Bob Johnson,Marketing,80220.88,2
42,Olivia White,Marketing,62420.68,1
43,David Martinez,Marketing,78992.75,1
44,Bob Johnson,HR,86586.81,0
45,Charlie Davis,Finance,80644.84,1
46,Michael Lee,Engineering,60778.09,0
47,Emily Wilson,Sales,95131.61,0
48,Olivia White,Marketing,37151.01,2
49,David Martinez,HR,77752.61,0
50,Alice Brown,Marketing,75213.87,0
51,Olivia White,Marketing,60912.76,1
52,Jane Smith,HR,88149.53,2
53,Michael Lee,Marketing,71845.27,1
54,Jane Smith,Finance,69788.1,0
55,Sophia Garcia,Sales,58531.86,0
56,Sophia Garcia,Finance,42256.92,2
57,Bob Johnson,HR,98527.08,1
58,Michael Lee,Marketing,52258.73,2
59,Charlie Davis,Finance,85929.15,1
60,Jane Smith,Engineering,94433.68,0
61,Olivia White,Engineering,52198.81,0
62,John Doe,Finance,72485.39,0
63,Sophia Garcia,Finance,97658.68,0
64,John Doe,Marketing,44513.63,1
65,Bob Johnson,Marketing,72090.65,1
66,John Doe,HR,64108.0,1
67,Charlie Davis,Marketing,36152.69,1
68,Bob Johnson,Sales,76115.45,0
69,Charlie Davis,Finance,48645.39,0
70,David Martinez,Sales,64681.15,1
71,Emily Wilson,Marketing,93998.54,0
72,Emily Wilson,Marketing,35042.79,1
73,Bob Johnson,HR,99685.83,0
74,Charlie Davis,Finance,51405.9,1
75,Charlie Davis,Marketing,95116.79,0
76,Bob Johnson,Finance,97981.2,1
77,Charlie Davis,Finance,68129.54,0
78,Bob Johnson,Finance,86899.62,1
79,Olivia White,Engineering,98871.97,1
80,Emily Wilson,Finance,60981.81,0
81,Olivia White,Sales,58733.98,2
82,Emily Wilson,Sales,71710.27,2
83,Alice Brown,Finance,46987.28,1
84,Michael Lee,Engineering,85616.84,0
85,Jane Smith,Engineering,53051.45,0
86,Alice Brown,HR,77025.72,1
87,Sophia Garcia,Finance,57866.93,1
88,John Doe,HR,48726.36,2
89,Sophia Garcia,Finance,83429.6,0
90,Bob Johnson,HR,77185.17,2
91,Charlie Davis,HR,91214.55,0
92,Sophia Garcia,HR,78386.45,0
93,David Martinez,Sales,30370.1,0
94,John Doe,Sales,53928.74,1
95,Michael Lee,Engineering,85078.33,0
96,Bob Johnson,Marketing,41605.17,0
97,Charlie Davis,Marketing,54135.51,1
98,Emily Wilson,Finance,98877.53,0
99,Emily Wilson,Sales,97591.43,2
100,Michael Lee,HR,89154.95,0
101,Jane Smith,Finance,94158.39,2
102,Jane Smith,HR,70949.22,2
103,Bob Johnson,HR,61288.31,2
104,Michael Lee,Sales,62972.53,0
105,Alice Brown,Sales,36432.13,0
106,David Martinez,HR,49846.21,0
107,Bob Johnson,HR,67237.48,2
108,Michael Lee,Marketing,86823.92,2
109,Michael Lee,Finance,91164.79,0
110,Jane Smith,Sales,70088.17,1
111,John Doe,HR,30382.42,1
112,Sophia Garcia,Finance,82656.74,2
113,Alice Brown,Engineering,97811.94,0
114,John Doe,Sales,97833.73,0
115,Jane Smith,Finance,74680.36,2
116,David Martinez,Sales,57846.83,2
117,Alice Brown,Engineering,42974.65,2
118,Alice Brown,HR,33711.54,1
119,Olivia White,Sales,37774.31,1
120,John Doe,Marketing,72931.27,1
121,Jane Smith,Marketing,67952.61,2
122,Sophia Garcia,Marketing,89782.82,1
123,Emily Wilson,Engineering,81008.98,0
124,Charlie Davis,HR,83692.48,2
125,Charlie Davis,HR,58375.11,2
126,John Doe,Marketing,58453.93,1
127,Emily Wilson,Finance,94735.03,0
128,Jane Smith,Sales,87409.06,1
129,Alice Brown,Engineering,75434.62,2
130,Michael Lee,Finance,66278.55,1
131,Sophia Garcia,Finance,42322.54,2
132,Alice Brown,HR,92591.01,0
133,Michael Lee,Sales,38938.23,2
134,Jane Smith,Finance,74219.09,2
135,Olivia White,Finance,45272.23,1
136,Bob Johnson,Marketing,37844.25,2
137,David Martinez,Finance,44907.32,2
138,Emily Wilson,HR,59100.02,2
139,Bob Johnson,Engineering,32910.03,0
140,Charlie Davis,HR,95274.71,2
141,Charlie Davis,HR,72370.12,1
142,Sophia Garcia,Marketing,55593.99,1
143,Emily Wilson,Marketing,75212.68,0
144,David Martinez,Engineering,63835.39,1
145,John Doe,Finance,68368.11,2
146,Bob Johnson,Sales,42688.49,2
147,Jane Smith,HR,43840.72,2
148,Bob Johnson,HR,57505.44,2
149,Sophia Garcia,Finance,91378.0,0
150,Olivia White,Sales,52930.08,0
151,John Doe,Sales,31493.14,1
152,Bob Johnson,Sales,80160.03,2
153,Jane Smith,Marketing,62692.93,0
154,Sophia Garcia,Engineering,45936.6,2
155,Charlie Davis,HR,51443.82,0
156,Sophia Garcia,Marketing,95374.03,0
157,Olivia White,Finance,48088.95,0
158,Emily Wilson,Marketing,74105.1,0
159,Michael Lee,Marketing,86212.84,0
160,Bob Johnson,HR,68946.83,2
161,Charlie Davis,Marketing,86453.48,1
162,Emily Wilson,Finance,40132.14,0
163,Alice Brown,Finance,57643.51,2
164,Olivia White,Finance,51017.09,0
165,Bob Johnson,Finance,83705.35,1
166,David Martinez,Sales,79357.26,0
167,Sophia Garcia,Marketing,69570.4,1
168,Michael Lee,Engineering,87957.72,0
169,Charlie Davis,Finance,62462.55,1
170,Emily Wilson,Finance,61703.34,1
171,David Martinez,Sales,49296.26,1
172,Michael Lee,Marketing,48760.55,0
173,Jane Smith,Marketing,85477.93,0
174,Bob Johnson,Engineering,32814.43,1
175,Jane Smith,Sales,66691.1,0
176,Bob Johnson,Engineering,89299.39,1
177,Bob Johnson,Sales,62841.4,0
178,John Doe,Engineering,60837.12,1
179,Emily Wilson,Finance,49885.82,2
180,Alice Brown,Sales,75107.5,0
181,Charlie Davis,HR,63658.04,2
182,Jane Smith,Sales,66038.95,2
183,Michael Lee,Marketing,80926.93,0
184,Charlie Davis,Engineering,67148.67,0
185,Michael Lee,Engineering,96324.1,1
186,Sophia Garcia,Finance,57372.98,1
187,Charlie Davis,HR,42275.76,0
188,Emily Wilson,Finance,42934.38,0
189,Michael Lee,HR,49391.52,0
190,Charlie Davis,Marketing,77211.69,0
191,Olivia White,Marketing,46885.03,2
192,Bob Johnson,Sales,61001.17,0
193,Sophia Garcia,Finance,52096.03,2
194,Olivia White,HR,56436.78,2
195,John Doe,Sales,98130.41,2
196,Olivia White,HR,88523.96,1
197,Charlie Davis,Marketing,50569.43,2
198,Olivia White,Finance,86156.18,1
199,John Doe,Finance,72948.95,0
200,Bob Johnson,HR,53316.37,1
